district,sub_district,town_name,town_total_population,slum_name,is_notified,households_approx,slum_population_approx,paved_roads_km,drainage_system_code,private_latrines_pit,private_latrines_flush,private_latrines_service,private_latrines_others,private_latrines_community,public_water_tap_points,electricity_domestic_conn,electricity_road_lighting_conn,electricity_others_conn,households_without_private_latrine_access_est,sanitation_gap_ratio
Chennai,Area Not Under Any Sub-District,Chennai,12396,CORPORATION LANE,1,210,750,1.5,2,0,158,0,0,0,14,189,7,2,52.0,0.248
Chennai,Area Not Under Any Sub-District,Chennai,12396,LOCK NAGAR MAIN ROAD,1,304,1277,2.1,2,0,228,0,0,0,20,274,10,3,76.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,NAIR VARADAPILLAI STREET,1,45,189,0.2,2,0,14,0,0,0,3,9,2,0,31.0,0.689
Chennai,Area Not Under Any Sub-District,Chennai,12396,MIR BAKAHI ALI STREE,1,32,134,0.2,2,0,24,0,0,0,2,6,1,0,8.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,RASUL OOMAR BHAGADUR V,1,16,67,0.2,2,0,12,0,0,0,1,0,1,0,4.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,AYODHIKUPPAM,1,708,2974,3,2,0,531,0,0,0,47,637,24,7,177.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,MUTTON KUPPAM,1,920,3680,3.5,2,0,690,0,0,0,61,828,31,9,230.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,SIVARAJAPURAM,1,230,920,1.5,2,0,173,0,0,0,15,207,8,2,57.0,0.248
Chennai,Area Not Under Any Sub-District,Chennai,12396,S.S.PURAM,1,256,1075,1.5,2,0,192,0,0,0,17,230,9,3,64.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,NAKKEERAN NAGAR,1,120,504,0.5,2,0,90,0,0,0,8,108,4,1,30.0,0.25
